0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:46 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15313
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:46 -0300] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:46 -0300] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:46 -0300] "GET /WebCalendario/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:46 -0300] "GET /WebCalendario/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:46 -0300] "GET /WebCalendario/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:48 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15313
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:48 -0300] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:48 -0300] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:48 -0300] "GET /WebCalendario/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:48 -0300] "GET /WebCalendario/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:56:48 -0300] "GET /WebCalendario/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:09 -0300] "POST /WebCalendario/acciones/nuevoEvento.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:10 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15653
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:18 -0300] "POST /WebCalendario/acciones/nuevoEvento.jsp HTTP/1.1" 200 571
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:18 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15984
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:34 -0300] "POST /WebCalendario/acciones/nuevoEvento.jsp HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:34 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 16325
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:52 -0300] "GET /WebCalendario/acciones/eliminarEvento.jsp?idevento=17 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:53 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15984
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:56 -0300] "GET /WebCalendario/acciones/eliminarEvento.jsp?idevento=16 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:57 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15653
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:58 -0300] "GET /WebCalendario/acciones/eliminarEvento.jsp?idevento=15 HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [14/Oct/2014:16:57:58 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15313
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:15:05 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15379
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:15:10 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 15379
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:15:10 -0300] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:15:10 -0300] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:15:10 -0300] "GET /WebCalendario/js/codigo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:15:10 -0300] "GET /WebCalendario/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:15:10 -0300] "GET /WebCalendario/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:51:56 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 16362
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:51:56 -0300] "GET /WebCalendario/js/codigo.js HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:52:53 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 16362
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:52:54 -0300] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:52:57 -0300] "GET /WebCalendario/cambia.jsp?anio=2014&mes=9&dia=13&hora=9&nuevodia=4 HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:52:58 -0300] "GET /WebCalendario/Index.jsp? HTTP/1.1" 200 16362
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:53:29 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 16362
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:53:42 -0300] "GET /WebCalendario/Index.jsp HTTP/1.1" 200 16362
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:53:42 -0300] "GET /WebCalendario/lib/jquery-1.10.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:53:42 -0300] "GET /WebCalendario/lib/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:53:42 -0300] "GET /WebCalendario/js/codigo.js HTTP/1.1" 200 2427
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:53:42 -0300] "GET /WebCalendario/css/estilo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:53:42 -0300] "GET /WebCalendario/css/header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Oct/2014:17:54:22 -0300] "POST /WebCalendario/acciones/nuevoCalendario.jsp HTTP/1.1" 404 1045
